datacategory,dataclass,fieldname,fielddescription (follow format of quoted texts),1,2,3,4
metadata,aggregate,year,Year of sampling,XXXX,XXXX,YYYY,YYYY
metadata,aggregate,season,Enter 'iceon' or 'iceoff',iceon,iceoff,iceon,iceoff
metadata,researcher,researcher,Researcher Name ('Firstname.Lastname'),,,,
metadata,lake,lakename,"Best proper name ('Lake X', or 'X Lake', 'X Reservoir', etc.) [name that would appear in a publication]",,,,
metadata,lake,lakeregloc,Region (Province or State or similar),,,,
metadata,lake,lakecountry,Country,,,,
metadata,lake,lakearea,Surface area of lake (km^2),,,,
metadata,lake,lakemeandepth,Mean depth of lake (m),,,,
metadata,lake,lakemaxdepth,Maximum known depth of lake (m),,,,
metadata,lake,lakeelevation,Elevation of lake (m) above sea level,,,,
metadata,lake,watershedarea,Lake watershed (catchment) size (km^2),,,,
metadata,lake,h2oresidence,Lake water residence time in days (real number),,,,
metadata,lake,lakefetch,Fetch - maximum distance from shore to shore (km),,,,
metadata,station,stationdistance,Minimum distance (km) from shore to sampling station,,,,
metadata,station,stationdepth,Depth (m) at sampling station [also the depth of benthic biota (fields below) if sampled],,,,
metadata,station,stationname,Name used by researcher that identifies sampling station,,,,
metadata,station,stationlat,Latitude in Deg.decimaldeg (for sampling station),,,,
metadata,station,stationlong,Longitude in Deg.decimaldeg (for sampling station),,,,
metadata,station,multiplestations,Are you entering data for multiple stations in this lake ('yes' or 'no'),,,,
metadata,aggregate,startday,Calculated aggregate begins on this date - Day ('##'),,,,
metadata,aggregate,startmonth,"Calculated aggregate begins on this date - Month (1st 3 letters of month in English; e.g., 'Dec')",,,,
metadata,aggregate,startyear,Calculated aggregate begins on this date - Year ('####'),,,,
metadata,aggregate,endday,Calculated aggregate ends on this date - DAY ('##'),,,,
metadata,aggregate,endmonth,"Calculated aggregate ends on this date - Month (1st 3 letters of month in English; e.g., 'Dec')",,,,
metadata,aggregate,endyear,Calculated aggregate ends on this date - Year ('####'),,,,
metadata,aggregate,iceduration,"Length of ice cover at station on lake in days (real number, may differ from aggregation period)",,,,
metadata,aggregate,periodn,Number of 'samples' contributing to the calculated seasonal aggregate (real number),,,,
metadata,aggregate,samplenarrat,Brief narrative describing anything we should know about the sampling protocol or number of samples,,,,
metadata,aggregate,sampletype,"Type of sample data ['in situ' (includes manual and autonomously collected), OR 'remote sensed']",,,,
metadata,aggregate,photicdepth,Depth of photic zone (m),,,,
metadata,aggregate,sampledepth,Maximum depth normally sampled (m),,,,
metadata,aggregate,icedepth,"Average surface ice thickness (cm; 'NA' for didn't measure, 0 if no ice)",,,,
metadata,aggregate,snowdepth,"Average snow depth on ice (cm; 0 for no snow, including summer OR, 'NA' if not measured)",,,,
metadata,aggregate,icenarrat,Brief narrative describing other ice-specific variables collected,,,,
metadata,aggregate,sidata,"Is there stable isotope data associated with aggregate? ('no' OR, if yes: 'delC','delN','delS', etc.)",,,,
metadata,aggregate,fadata,"Is there fatty acid data associated with aggregate? ('no' OR, if yes: 'proportional' or 'concentrations')",,,,
metadata,aggregate,gutdata,Is there consumer gut content data associated with sample period? ('yes'or 'no'),,,,
metadata,aggregate,foodwebnarrat,"Brief narrative describing food web/biomarker/gut content data, and organisms",,,,
physchem,aggregate,watertemp,Average water temperature (deg C) at sample station during depth/date range of aggregate,,,,
physchem,aggregate,airtemp,Average air temp (deg C) at sample station during date range of aggregate,,,,
physchem,aggregate,averadiation,Average photosynthetically active radiation (PAR; of aggregate) (umol photons m^2 s^-1) at surface,,,,
